"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","subject_id","random_condition","participant_name","task","rt","stimulus","response","round","player_choice","computer_choice","result","question_order"
"","","","","","html-keyboard-response","10","2.0.0","98878","qx1bkca4l8","winner","BL","","2823","
          <div style=""display:flex; justify-content:center; align-items:center; gap:60px;"">
            <div style=""text-align:center;"">
              <p><b>BL chose:</b></p>
              <img src='exp_code/Images/Scissors_Participant.png' width='300'>
            </div>
            <div style=""text-align:center;"">
              <p><b>Bria chose:</b></p>
              <img src='exp_code/Images/Paper_Computer.png' width='300'>
            </div>
          </div>
        <p style=""font-size:24px; color:green;""><b>BL wins this round!</b></p><p style='font-size:small;'>Press the spacebar to continue.</p>"," ","","","","",""
"","","","","","html-button-response","11","2.0.0","99960","qx1bkca4l8","winner","BL","","1081","<p><b>Round 2</b><br>Choose your move:</p>","0","2","Rock","","",""
"","","","","","html-keyboard-response","12","2.0.0","105584","qx1bkca4l8","winner","BL","","null","<p>Waiting for Bria to choose...</p>","null","","","","",""
"","","","","","html-keyboard-response","13","2.0.0","108786","qx1bkca4l8","winner","BL","","null","<p style=""font-size:48px; font-weight:bold;"">3...</p>","null","","","Scissors","player",""
"","","","","","html-keyboard-response","14","2.0.0","110872","qx1bkca4l8","winner","BL","","2084","
          <div style=""display:flex; justify-content:center; align-items:center; gap:60px;"">
            <div style=""text-align:center;"">
              <p><b>BL chose:</b></p>
              <img src='exp_code/Images/Rock_Participant.png' width='300'>
            </div>
            <div style=""text-align:center;"">
              <p><b>Bria chose:</b></p>
              <img src='exp_code/Images/Scissors_Computer.png' width='300'>
            </div>
          </div>
        <p style=""font-size:24px; color:green;""><b>BL wins this round!</b></p><p style='font-size:small;'>Press the spacebar to continue.</p>"," ","","","","",""
"","","","","","html-button-response","15","2.0.0","112166","qx1bkca4l8","winner","BL","","1291","<p><b>Round 3</b><br>Choose your move:</p>","2","3","Scissors","","",""
"","","","","","html-keyboard-response","16","2.0.0","121418","qx1bkca4l8","winner","BL","","null","<p>Waiting for Bria to choose...</p>","null","","","","",""
"","","","","","html-keyboard-response","17","2.0.0","124620","qx1bkca4l8","winner","BL","","null","<p style=""font-size:48px; font-weight:bold;"">3...</p>","null","","","Scissors","tie",""
"","","","","","html-keyboard-response","18","2.0.0","126099","qx1bkca4l8","winner","BL","","1477","
          <div style=""display:flex; justify-content:center; align-items:center; gap:60px;"">
            <div style=""text-align:center;"">
              <p><b>BL chose:</b></p>
              <img src='exp_code/Images/Scissors_Participant.png' width='300'>
            </div>
            <div style=""text-align:center;"">
              <p><b>Bria chose:</b></p>
              <img src='exp_code/Images/Scissors_Computer.png' width='300'>
            </div>
          </div>
        <p style=""font-size:24px;""><b>It's a tie!</b></p><p style='font-size:small;'>Press the spacebar to continue.</p>"," ","","","","",""
"","","","","","html-button-response","19","2.0.0","128691","qx1bkca4l8","winner","BL","","2590","
      <h1 style = ""text-align: center""><b>Practice rounds complete!</b></h1>
      <p style = ""text-align: start"">Now that you have finished the practice rounds, do you feel like you understand how to play Rock, Paper, Scissors?</p>
      <p style = ""text-align: start"">If not, the instructions will be displayed again before the main game.</p>
    ","0","","","","",""
"","","","","","html-keyboard-response","20","2.0.0","132121","qx1bkca4l8","winner","BL","","3428","
        <h2>Final Round Instructions</h2>
        <p style = ""text-align: start"">You and your opponent, Bria, will now proceed to the <b>final round</b> of Rock, Paper, Scissors.</p>
        <p style = ""text-align: start"">There will only be <b> one round </b> to determine the winner. If there is a tie, the round will be played until there is a winner.</p>
        <p style = ""text-align: start"">Remember the winner of the round will receive a reward of $1.</p>
        <p style = ""text-align: start"">In case you forgot, the rules are below: </p>
        <ol style =""list-style-type=decimal; list-style-position:inside;padding-left:10px; display=inline-block; text-align: start"">
            <li>Rock crushes Scissors</li><li>Paper covers Rock</li><li>Scissors cut Paper</li></ol>
        <p style = ""text-align: start"">Good luck!</p>
        <p><i>Press the spacebar to begin the final round.</i></p>
        "," ","","","","",""
"","","","","","html-button-response","21","2.0.0","133855","qx1bkca4l8","winner","BL","","1725","<p><b>Main Game</b><br>Choose your move:</p>","1","","Paper","","",""
"","","","","","html-keyboard-response","22","2.0.0","135302","qx1bkca4l8","winner","BL","","null","<p>Waiting for Bria to choose...</p>","null","","","","",""
"","","","","","html-keyboard-response","23","2.0.0","138505","qx1bkca4l8","winner","BL","","null","<p style=""font-size:48px; font-weight:bold;"">3...</p>","null","","","Rock","player",""
"","","","","","html-keyboard-response","24","2.0.0","148470","qx1bkca4l8","winner","BL","","9962","
            <div style=""display:flex; justify-content:center; align-items:center; gap:60px;"">
                <div style=""text-align:center;"">
                <p><b>BL chose:</b></p>
                <img src='exp_code/Images/Paper_Participant.png' width='300'>
                </div>
                <div style=""text-align:center;"">
                <p>Bria chose:</b></p>
                <img src='exp_code/Images/Rock_Computer.png' width='300'>
                </div>
            </div>
            <p style=""font-size:24px; color:green;""><b>BL wins this round!</b> BL wins $1.</p><p><i>Press the spacebar to continue.</i></p>"," ","","","","",""
"","","","","","html-button-response","25","2.0.0","150086","qx1bkca4l8","winner","BL","","1614","<p>Who won the last round you played?</p>","1","","","","",""
"","","","","","html-keyboard-response","26","2.0.0","155703","qx1bkca4l8","winner","BL","","5616","
        <p style = ""text-align: start; margin-left: 20px; margin-right: 20px""> Thank you! Now, you will complete a short task to see how competition impacts word groupings.</p>
        <p style = ""text-align: start; margin-left: 20px; margin-right: 20px""> In this task, you will see a set of 10 words. Your job is to select which category the set of words belong to.</p>
        <p style = ""text-align: start; margin-left: 20px; margin-right: 20px""> For example, if the set of words are: 
        <br><br> Dog, Cat, Elephant, Tiger, Lion, Bear, Wolf, Fox, Giraffe, Zebra <br><br> 
        a. Animals<br>b. Colors<br>c. Names <br>d. Pets<br><br>
        You would select ""Animals"" from the multiple choice list as the category.</p>
        <p><i> Press the spacebar to begin the task.</i></p>
    "," ","","","","",""
"","","","","","survey-multi-choice","27","2.1.0","166272","qx1bkca4l8","winner","BL","","10565","","{""filler_1"":""Fruits"",""filler_2"":""Jewels"",""filler_3"":""Family Members"",""filler_4"":""Body Parts"",""filler_5"":""Appliances""}","","","","","[4,2,0,3,1]"
"","","","","","survey-likert","28","2.0.0","216190","qx1bkca4l8","winner","BL","","49912","","{""DV1_appraisal_fairness"":0,""DV1_appraisal_injustice"":0,""DV1_appraisal_deservingness_other_rev"":0,""DV1_appraisal_valence"":0,""DV1_appraisal_self_relevance"":0,""DV1_appraisal_deservingness_self_rev"":0,""DV1_pleasantness_rev"":0,""DV1_controllability"":0,""DV1_outcome_probability_rev"":0,""DV1_reward_valence_rev"":0}","","","","","[0,1,2,3,4,5,6,7,8,9]"
"","","","","","survey-likert","29","2.0.0","220403","qx1bkca4l8","winner","BL","","4207","","{""DV2_emotion_self_satisfaction"":"""",""DV2_emotion_jealousy"":"""",""DV2_emotion_anger"":"""",""DV2_emotion_admiration"":"""",""DV2_emotion_worthlessness"":"""",""DV2_emotion_envy"":"""",""DV2_emotion_resentment"":"""",""DV2_emotion_pride_other"":"""",""DV2_emotion_jealousy_2"":"""",""DV2_emotion_shame"":"""",""DV2_emotion_envy_2"":"""",""DV2_emotion_anger_2"":""""}","","","","","[0,1,2,3,4,5,6,7,8,9,10,11]"
"","","","","","survey-multi-choice","30","2.1.0","238649","qx1bkca4l8","winner","BL","","18244","","{""DV3_outcome_attribution"":""My luck during the game.""}","","","","","[0]"
"","","","","","survey-likert","31","2.0.0","244956","qx1bkca4l8","winner","BL","","6300","","{""DV4_BIDR_SDE_1"":"""",""DV4_BIDR_SDE_2"":"""",""DV4_BIDR_SDE_3"":"""",""DV4_BIDR_SDE_4_rev"":"""",""DV4_BIDR_SDE_5_rev"":"""",""DV4_BIDR_SDE_6"":"""",""DV4_BIDR_SDE_7_rev"":"""",""DV4_BIDR_SDE_8"":"""",""DV4_BIDR_SDE_9_rev"":"""",""DV4_BIDR_SDE_10_rev"":"""",""DV4_BIDR_IM_1_rev"":"""",""DV4_BIDR_IM_2_rev"":"""",""DV4_BIDR_IM_3"":"""",""DV4_BIDR_IM_4_rev"":"""",""DV4_BIDR_IM_5_rev"":"""",""DV4_BIDR_IM_6"":"""",""DV4_BIDR_IM_7_rev"":"""",""DV4_BIDR_IM_8_rev"":"""",""DV4_BIDR_IM_9"":"""",""DV4_BIDR_IM_10_rev"":""""}","","","","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]"
"","","","","","survey-likert","32","2.0.0","247887","qx1bkca4l8","winner","BL","","2925","","{""DV5_DSES_1_Attraction"":"""",""DV5_DSES_2_Competence"":"""",""DV5_DSES_3_Wealth"":"""",""DV5_DSES_4_Attraction"":"""",""DV5_DSES_5_Competence"":"""",""DV5_DSES_6_Wealth"":"""",""DV5_DSES_7_Attraction"":"""",""DV5_DSES_8_Competence"":"""",""DV5_attention_check"":"""",""DV5_DSES_9_Wealth"":"""",""DV5_DSES_10_Attraction"":"""",""DV5_DSES_11_Competence"":"""",""DV5_DSES_12_Wealth"":"""",""DV5_DSES_13_Attraction"":"""",""DV5_DSES_14_Competence"":"""",""DV5_DSES_15_Wealth"":""""}","","","","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]"
"","","","","","survey-multi-choice","33","2.1.0","249841","qx1bkca4l8","winner","BL","","1952","","{""demo_gender"":""""}","","","","","[0]"
"","","","","","survey-text","34","2.0.0","250957","qx1bkca4l8","winner","BL","","1113","","{""Q0"":""""}","","","","",""
"","","","","","survey-likert","35","2.0.0","255099","qx1bkca4l8","winner","BL","","4139","","{""Q0"":0}","","","","","[0]"
"","","","","","survey-text","36","2.0.0","258242","qx1bkca4l8","winner","BL","","3133","","{""funnel_1"":""asdf"",""funnel_2"":""asdf"",""comments"":""asdf""}","","","","",""
