"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","subject_id","experiment_date","prolific_id_last4","study_id","session_id","random_condition","participant_name","task","rt","stimulus","response","round","player_choice","computer_choice","result","question_order"
"","","","","","html-keyboard-response","10","2.0.0","134064","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","1292","
          <div style=""display:flex; justify-content:center; align-items:center; gap:60px;"">
            <div style=""text-align:center;"">
              <p><b>plpl chose:</b></p>
              <img src='exp_code/Images/Paper_Participant.png' width='300'>
            </div>
            <div style=""text-align:center;"">
              <p><b>Thomas chose:</b></p>
              <img src='exp_code/Images/Rock_Computer.png' width='300'>
            </div>
          </div>
        <p style=""font-size:24px; color:green;""><b>plpl wins this round!</b></p><p style='font-size:small;'>Press the spacebar to continue.</p>"," ","","","","",""
"","","","","","html-button-response","11","2.0.0","134952","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","884","<p><b>Round 2</b><br>Choose your move:</p>","2","2","Scissors","","",""
"","","","","","html-keyboard-response","12","2.0.0","144162","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","null","<p>Waiting for Thomas to choose...</p>","null","","","","",""
"","","","","","html-keyboard-response","13","2.0.0","147365","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","null","<p style=""font-size:48px; font-weight:bold;"">3...</p>","null","","","Rock","computer",""
"","","","","","html-keyboard-response","14","2.0.0","149340","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","1972","
          <div style=""display:flex; justify-content:center; align-items:center; gap:60px;"">
            <div style=""text-align:center;"">
              <p><b>plpl chose:</b></p>
              <img src='exp_code/Images/Scissors_Participant.png' width='300'>
            </div>
            <div style=""text-align:center;"">
              <p><b>Thomas chose:</b></p>
              <img src='exp_code/Images/Rock_Computer.png' width='300'>
            </div>
          </div>
        <p style=""font-size:24px; color:red;""><b>Thomas wins this round!</b></p><p style='font-size:small;'>Press the spacebar to continue.</p>"," ","","","","",""
"","","","","","html-button-response","15","2.0.0","150107","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","763","<p><b>Round 3</b><br>Choose your move:</p>","0","3","Rock","","",""
"","","","","","html-keyboard-response","16","2.0.0","151970","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","null","<p>Waiting for Thomas to choose...</p>","null","","","","",""
"","","","","","html-keyboard-response","17","2.0.0","155173","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","null","<p style=""font-size:48px; font-weight:bold;"">3...</p>","null","","","Paper","computer",""
"","","","","","html-keyboard-response","18","2.0.0","156252","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","1075","
          <div style=""display:flex; justify-content:center; align-items:center; gap:60px;"">
            <div style=""text-align:center;"">
              <p><b>plpl chose:</b></p>
              <img src='exp_code/Images/Rock_Participant.png' width='300'>
            </div>
            <div style=""text-align:center;"">
              <p><b>Thomas chose:</b></p>
              <img src='exp_code/Images/Paper_Computer.png' width='300'>
            </div>
          </div>
        <p style=""font-size:24px; color:red;""><b>Thomas wins this round!</b></p><p style='font-size:small;'>Press the spacebar to continue.</p>"," ","","","","",""
"","","","","","html-button-response","19","2.0.0","157381","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","1127","
      <h1 style = ""text-align: center""><b>Practice rounds complete!</b></h1>
      <p style = ""text-align: start"">Now that you have finished the practice rounds, do you feel like you understand how to play Rock, Paper, Scissors?</p>
      <p style = ""text-align: start"">If not, the instructions will be displayed again before the main game.</p>
    ","0","","","","",""
"","","","","","html-keyboard-response","20","2.0.0","158100","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","718","
        <h2>Final Round Instructions</h2>
        <p style = ""text-align: start"">You and your opponent, Thomas, will now proceed to the <b>final round</b> of Rock, Paper, Scissors.</p>
        <p style = ""text-align: start"">There will only be <b> one round </b> to determine the winner. If there is a tie, the round will be played until there is a winner.</p>
        <p style = ""text-align: start"">Remember the winner of the round will receive a reward of $1.</p>
        <p style = ""text-align: start"">In case you forgot, the rules are below: </p>
        <ol style =""list-style-type=decimal; list-style-position:inside;padding-left:10px; display=inline-block; text-align: start"">
            <li>Rock crushes Scissors</li><li>Paper covers Rock</li><li>Scissors cut Paper</li></ol>
        <p style = ""text-align: start"">Good luck!</p>
        <p><i>Press the spacebar to begin the final round.</i></p>
        "," ","","","","",""
"","","","","","html-button-response","21","2.0.0","158902","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","793","<p><b>Main Game</b><br>Choose your move:</p>","1","","Paper","","",""
"","","","","","html-keyboard-response","22","2.0.0","161488","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","null","<p>Waiting for Thomas to choose...</p>","null","","","","",""
"","","","","","html-keyboard-response","23","2.0.0","164691","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","null","<p style=""font-size:48px; font-weight:bold;"">3...</p>","null","","","Scissors","computer",""
"","","","","","html-keyboard-response","24","2.0.0","270969","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","106273","
            <div style=""display:flex; justify-content:center; align-items:center; gap:60px;"">
                <div style=""text-align:center;"">
                <p><b>plpl chose:</b></p>
                <img src='exp_code/Images/Paper_Participant.png' width='300'>
                </div>
                <div style=""text-align:center;"">
                <p>Thomas chose:</b></p>
                <img src='exp_code/Images/Scissors_Computer.png' width='300'>
                </div>
            </div>
            <p style=""font-size:24px; color:red;""><b>Thomas wins this round!</b> Thomas wins $1.</p><p><i>Press the spacebar to continue.</i></p>"," ","","","","",""
"","","","","","html-button-response","25","2.0.0","328457","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","57486","<p>Who won the last round you played?</p>","1","","","","",""
"","","","","","html-keyboard-response","26","2.0.0","329087","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","628","
        <p style = ""text-align: start; margin-left: 20px; margin-right: 20px""> Thank you! Now, you will complete a short task to see how competition impacts word groupings.</p>
        <p style = ""text-align: start; margin-left: 20px; margin-right: 20px""> In this task, you will see a set of 10 words. Your job is to select which category the set of words belong to.</p>
        <p style = ""text-align: start; margin-left: 20px; margin-right: 20px""> For example, if the set of words are: 
        <br><br> Dog, Cat, Elephant, Tiger, Lion, Bear, Wolf, Fox, Giraffe, Zebra <br><br> 
        a. Animals<br>b. Colors<br>c. Names <br>d. Pets<br><br>
        You would select ""Animals"" from the multiple choice list as the category.</p>
        <p><i> Press the spacebar to begin the task.</i></p>
    "," ","","","","",""
"","","","","","survey-multi-choice","27","2.1.0","335507","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","6416","","{""filler_1"":""Fruits"",""filler_2"":""Colors"",""filler_3"":""Friends"",""filler_4"":""Fruits"",""filler_5"":""Vehicles""}","","","","","[3,2,0,1,4]"
"","","","","","survey-likert","28","2.0.0","345621","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","10110","","{""DV1_appraisal_fairness"":0,""DV1_appraisal_injustice"":6,""DV1_appraisal_deservingness_other_rev"":0,""DV1_appraisal_valence"":0,""DV1_appraisal_self_relevance"":0,""DV1_appraisal_deservingness_self_rev"":0,""DV1_pleasantness_rev"":0,""DV1_controllability"":0,""DV1_outcome_probability_rev"":3,""DV1_reward_valence_rev"":6}","","","","","[0,1,2,3,4,5,6,7,8,9]"
"","","","","","survey-likert","29","2.0.0","360033","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","14407","","{""DV2_emotion_self_satisfaction"":3,""DV2_emotion_jealousy"":3,""DV2_emotion_anger"":2,""DV2_emotion_admiration"":2,""DV2_emotion_worthlessness"":4,""DV2_emotion_envy"":4,""DV2_emotion_resentment"":3,""DV2_emotion_pride_other"":5,""DV2_emotion_jealousy_2"":4,""DV2_emotion_shame"":2,""DV2_emotion_envy_2"":1,""DV2_emotion_anger_2"":3}","","","","","[0,1,2,3,4,5,6,7,8,9,10,11]"
"","","","","","survey-multi-choice","30","2.1.0","361998","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","1963","","{""DV3_outcome_attribution"":""The other person's effort during the game.""}","","","","","[0]"
"","","","","","survey-likert","31","2.0.0","377933","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","15931","","{""DV5_DSES_1_Attraction"":2,""DV5_DSES_2_Competence"":5,""DV5_DSES_3_Wealth"":3,""DV5_DSES_4_Attraction"":2,""DV5_DSES_5_Competence"":4,""DV5_DSES_6_Wealth"":0,""DV5_DSES_7_Attraction"":6,""DV5_DSES_8_Competence"":5,""DV5_attention_check"":1,""DV5_DSES_9_Wealth"":2,""DV5_DSES_10_Attraction"":4,""DV5_DSES_11_Competence"":3,""DV5_DSES_12_Wealth"":3,""DV5_DSES_13_Attraction"":2,""DV5_DSES_14_Competence"":4,""DV5_DSES_15_Wealth"":2}","","","","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]"
"","","","","","survey-multi-choice","32","2.1.0","379719","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","1783","","{""demo_gender"":""My gender identity is not listed here""}","","","","","[0]"
"","","","","","survey-text","33","2.0.0","382840","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","3114","","{""age"":""57""}","","","","",""
"","","","","","survey-likert","34","2.0.0","385583","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","2740","","{""Q0"":1}","","","","","[0]"
"","","","","","survey-text","35","2.0.0","387104","umsuh78rs4","2025-11-17","1af3","691ba284cfdd9c6c6a099d96","0ujtwq0xjdio","loser","plpl","","1518","","{""funnel_1"":"""",""funnel_2"":"""",""comments"":""""}","","","","",""
